source,target,frame,confidence,period
SHIN HYE YONG,POLITICAL PRISON CAMP,NEUTRAL,0.8,period3
HANOI,U.S. SUMMIT,DIPLOMACY,0.9,period3
DPRK,NORTH KOREA,DIPLOMACY,0.9,period3
U.S. SUMMIT,LIBYA MODEL,NEUTRAL,0.85,period3
SATELLITE IMAGES,NORTH KOREAN SPACE PROGRAM,THREAT,0.95,period3
NORTH KOREA,MOON JAE-IN,DIPLOMACY,0.95,period3
SOUTH KOREA,KOREAN PENINSULA,DIPLOMACY,0.85,period3
MOON JAE-IN,HANOI SUMMIT,NEUTRAL,0.8,period3
MOON JAE-IN,KIM,DIPLOMACY,0.9,period3
MOON JAE-IN,UNIFICATION MINISTRY,DIPLOMACY,0.85,period3
XI JINPING,KIM JONG UN,DIPLOMACY,0.9,period3
KIM JONG UN,DENUCLEARIZATION TALKS,DIPLOMACY,0.9,period3
TRUMP ADMINISTRATION,DENUCLEARIZATION TALKS,DIPLOMACY,0.9,period3
TRUMP ADMINISTRATION,TRUMP,NEUTRAL,0.9,period3
TRUMP,JAPAN,THREAT,0.85,period3
TRUMP,ABE,DIPLOMACY,0.9,period3
KIM JONG UN,DENUCLEARIZATION,DIPLOMACY,0.85,period3
KIM JONG UN,SECURITY GUARANTEES,DIPLOMACY,0.85,period3
NORTH KOREA,ABE,THREAT,0.9,period3
PUTIN,SECURITY GUARANTEES,DIPLOMACY,0.9,period3
DPRK,ABE,THREAT,0.9,period3
NORTH KOREA,JOHN BOLTON,THREAT,0.9,period3
NORTH KOREA,MIKE POMPEO,DIPLOMACY,0.85,period3
NORTH KOREA,WEAPONS TEST,THREAT,0.9,period3
JOHN BOLTON,MIKE POMPEO,DIPLOMACY,0.85,period3
DMITRI TRENN,CARNEGIE MOSCOW CENTER,NEUTRAL,0.9,period3
NORTH KOREA,KEY RESOLVE,THREAT,0.9,period3
NORTH KOREA,FOAL EAGLE,THREAT,0.8,period3
NORTH KOREA,G20 SUMMIT,NEUTRAL,0.8,period3
DENUCLEARIZATION,HANOI,DIPLOMACY,0.9,period3
DENUCLEARIZATION,NORTH KOREA-U.S. NUCLEAR TALKS,DIPLOMACY,0.9,period3
RUSSIA,PUTIN,DIPLOMACY,0.8,period3
JAPAN,US,THREAT,0.85,period3
US,PEACE TREATY,NEUTRAL,0.85,period3
NORTH KOREA,LIBYA,THREAT,0.85,period3
NORTH KOREA,KAESONG PROJECT,DIPLOMACY,0.8,period3
NORTH KOREA,KUMGANG MOUNTAIN PROJECT,DIPLOMACY,0.85,period3
DENUCLEARIZATION,NORTH KOREA NUCLEAR PROGRAM,DIPLOMACY,0.9,period3
TRUMP,VIETNAM,DIPLOMACY,0.8,period3
TRUMP,COHEN,NEUTRAL,0.8,period3
NORTH KOREA,DROUGHT,HUMANITARIAN,0.95,period3
NORTH KOREA,MISSILE SYSTEM,THREAT,0.9,period3
NORTH KOREA,FOOD AID,HUMANITARIAN,0.95,period3
SOUTH KOREA,HUMANITARIAN AID,HUMANITARIAN,0.95,period3
U.N. WORLD FOOD PROGRAMME,HUMANITARIAN AID,HUMANITARIAN,0.95,period3
TRUMP,MIKE POMPEO,DIPLOMACY,0.9,period3
TRUMP,VENEZUELA,HUMANITARIAN,0.8,period3
TRUMP,DENUCLEARIZATION,DIPLOMACY,0.95,period3
NORTH KOREA,HANOI TALKS,DIPLOMACY,0.9,period3
NORTH KOREA,LONG RANGE MISSILES,THREAT,0.9,period3
NORTH KOREA,SHORT RANGE MISSILES,THREAT,0.9,period3
MIKE POMPEO,KWON JONG GUN,DIPLOMACY,0.85,period3
MIKE POMPEO,HANOI SUMMIT,DIPLOMACY,0.9,period3
KWON JONG GUN,KOREAN CENTRAL NEWS AGENCY,NEUTRAL,0.8,period3
NORTH KOREA,TACTICAL GUIDED WEAPON,THREAT,0.85,period3
NORTH KOREA,NUCLEAR TALKS,DIPLOMACY,0.9,period3
NORTH KOREA,VENEZUELA,THREAT,0.85,period3
NORTH KOREA,DENNIS RODMAN,DIPLOMACY,0.9,period3
MIKE POMPEO,TRUMP,DIPLOMACY,0.95,period3
NORTH KOREA,U.S.,DIPLOMACY,0.8,period3
NORTH KOREA,DENUCLEARISATION POLICY,THREAT,0.8,period3
U.S.,SOUTH KOREA,DIPLOMACY,0.8,period3
U.S.,KIM JONG UN,DIPLOMACY,0.9,period3
U.S.,EUROPE,DIPLOMACY,0.8,period3
SOUTH KOREA,INTER-KOREAN LIAISON OFFICE,NEUTRAL,0.9,period3
TRUMP,NUCLEAR FOOTBALL,THREAT,0.95,period3
UNITED STATES,NUCLEAR TALKS,DIPLOMACY,0.9,period3
UNITED STATES,ECONOMIC INCENTIVES,DIPLOMACY,0.9,period3
KIM,DONALD TRUMP,DIPLOMACY,0.9,period3
KIM,MIKE POMPEO,DIPLOMACY,0.9,period3
KIM,BOLTON,DIPLOMACY,0.85,period3
KIM,NORTH KOREAN ARMY,NEUTRAL,0.9,period3
NUCLEAR TALKS,DENUCLEARIZATION,DIPLOMACY,0.9,period3
NORTH KOREA,MISSILE PROGRAM,DIPLOMACY,0.85,period3
NORTH KOREA,TRUMP-KIM TALKS,DIPLOMACY,0.9,period3
UNITED STATES,MOON JAE-IN,DIPLOMACY,0.95,period3
MOON JAE-IN,SOUTH KOREA,DIPLOMACY,0.95,period3
SOUTH KOREA,KUMGANG MOUNTAIN,DIPLOMACY,0.85,period3
SOUTH KOREA,KAESONG INDUSTRIAL COMPLEX,ECONOMIC,0.9,period3
UNITED STATES,NORTH KOREA,DIPLOMACY,0.8,period3
NORTH KOREA,KIM HYOK CHOL,DIPLOMACY,0.85,period3
NORTH KOREA,UNSC RESOLUTIONS,ECONOMIC,0.9,period3
SOUTH KOREA,WORLD WAR TWO,NEUTRAL,0.8,period3
KIM HYOK CHOL,MIKE POMPEO,DIPLOMACY,0.9,period3
KIM YO JONG,KIM JONG UN,NEUTRAL,0.9,period3
KIM HYOK CHOL,NORTH KOREA,DIPLOMACY,0.9,period3
KIM HYOK CHOL,U.S.-NORTH KOREA SUMMIT,DIPLOMACY,0.9,period3
KIM HYOK CHOL,POMPEO,DIPLOMACY,0.9,period3
KIM HYOK CHOL,FOREIGN MINISTRY OFFICIALS,DIPLOMACY,0.9,period3
KIM HYOK CHOL,SECOND U.S.-NORTH KOREA SUMMIT,DIPLOMACY,0.9,period3
NORTH KOREA,SECOND U.S.-NORTH KOREA SUMMIT,NEUTRAL,0.9,period3
NORTH KOREA,CARGO SHIP,ECONOMIC,0.85,period3
NORTH KOREA,TRADE FAIR,ECONOMIC,0.9,period3
NORTH KOREA,THERMONUCLEAR WEAPONS,THREAT,0.95,period3
NORTH KOREA,SHIP-TO-SHIP TRANSFERS,ECONOMIC,0.9,period3
NORTH KOREA,U.S. TRADE SANCTIONS,ECONOMIC,0.9,period3
UNITED STATES,UN SANCTIONS,ECONOMIC,0.9,period3
CHINA,UN SANCTIONS,ECONOMIC,0.8,period3
UN SANCTIONS,SAJJAN,ECONOMIC,0.9,period3
UNITED NATIONS,SANCTIONS,ECONOMIC,0.9,period3
NORTH KOREA,USS PUEBLO,THREAT,0.9,period3
NORTH KOREA,WEAPONS OF MASS DESTRUCTION,THREAT,0.95,period3
DONALD TRUMP,SANCTIONS,ECONOMIC,0.8,period3
BORDER CROSSING,CHINA,ECONOMIC,0.9,period3
DONALD TRUMP,U.S. TREASURY,ECONOMIC,0.9,period3
NORTH KOREA,U.S. TREASURY,ECONOMIC,0.9,period3
NORTH KOREA,CHINESE SHIPPING COMPANIES,ECONOMIC,0.85,period3
NORTH KOREA,NUCLEAR WEAPONS PROGRAM,THREAT,0.9,period3
U.S. TREASURY,CHINESE SHIPPING COMPANIES,ECONOMIC,0.9,period3
DONALD TRUMP,US TREASURY,ECONOMIC,0.85,period3
NORTH KOREA,US TREASURY,ECONOMIC,0.9,period3
NORTH KOREA,NORTH KOREAN COAL,ECONOMIC,0.9,period3
US TREASURY,SANCTIONS,ECONOMIC,0.9,period3
TRUMP,U.S. TREASURY,DIPLOMACY,0.85,period3
TRUMP,SUMMIT MEETING,DIPLOMACY,0.9,period3
KIM JONG-UN,SUMMIT MEETING,NEUTRAL,0.8,period3
KIM JONG UN,SUMMIT,DIPLOMACY,0.9,period3
IRAN,SANCTIONS,ECONOMIC,0.85,period3
U.S. TREASURY,SANCTIONS,ECONOMIC,0.9,period3
SANCTIONS,TREASURY DEPARTMENT,ECONOMIC,0.9,period3
NORTH KOREA,LIAISON OFFICE,DIPLOMACY,0.85,period3
NORTH KOREA,DMZ,THREAT,0.85,period3
NORTH KOREA,U.N.,DIPLOMACY,0.8,period3
KIM JONG UN,MOON JAE-IN,DIPLOMACY,0.95,period3
KIM JONG UN,SECOND U.S.-NORTH KOREA SUMMIT,DIPLOMACY,0.9,period3
MOON JAE-IN,LIAISON OFFICE,DIPLOMACY,0.9,period3
SANCTIONS,NUCLEAR PROGRAM,ECONOMIC,0.9,period3
SANCTIONS,MILITARY EQUIPMENT,ECONOMIC,0.9,period3
LIAISON OFFICE,KAESONG,NEUTRAL,0.9,period3
SANCTIONS ON NORTH KOREA,OIL SMUGGLING,ECONOMIC,0.9,period3
TRUMP,SARAH HUCKABEE SANDERS,DIPLOMACY,0.8,period3
NORTH KOREA,RI YONG HO,DIPLOMACY,0.8,period3
NORTH KOREA,OIL,ECONOMIC,0.9,period3
NORTH KOREA,COAL,ECONOMIC,0.9,period3
SOUTH KOREA,MILITARY EXERCISES,THREAT,0.9,period3
NORTH KOREA,MILITARY DRILLS,THREAT,0.95,period3
SOUTH KOREA,DMZ,DIPLOMACY,0.85,period3
SOUTH KOREA,MILITARY DRILLS,THREAT,0.95,period3
NORTH KOREA,NUCLEAR TEST,THREAT,0.9,period3
NORTH KOREA,KCNA,THREAT,0.9,period3
NORTH KOREA,STEPHEN BIEGUN,DIPLOMACY,0.95,period3
NORTH KOREA,SINO-RI MISSILE OPERATING BASE,THREAT,0.95,period3
MISSILE,BALLISTIC MISSILE,NEUTRAL,0.9,period3
NORTH KOREA,UNIDENTIFIED PROJECTILE,THREAT,0.9,period3
SOUTH KOREA,STRIKE DRILL,THREAT,0.9,period3
NORTH KOREA,SOHAE LAUNCH FACILITY,THREAT,0.9,period3
SOUTH KOREA,SOHAE LAUNCH FACILITY,THREAT,0.85,period3
KIM JONG-UN,TACTICAL GUIDED WEAPON,THREAT,0.9,period3
CENTER FOR STRATEGIC AND INTERNATIONAL STUDIES,BEYOND PARALLEL,NEUTRAL,0.8,period3
NORTH KOREA,PYONGYANG,NEUTRAL,0.9,period3
NORTH KOREA,US-S KOREA MILITARY DRILLS,THREAT,0.9,period3
SOUTH KOREA,HUAWEI,THREAT,0.8,period3
DONALD TRUMP,US-S KOREA MILITARY DRILLS,DIPLOMACY,0.8,period3
NORTH KOREA,HARRY KAZIANIS,DIPLOMACY,0.9,period3
NORTH KOREA,U.S.-CHINA TRADE DEAL,ECONOMIC,0.85,period3
NORTH KOREA,KEN KATO,HUMANITARIAN,0.95,period3
KIMSUSAN PALACE OF THE SUN,KIM IL-SUNG,NEUTRAL,0.9,period3
KIMSUSAN PALACE OF THE SUN,KIM JONG-IL,NEUTRAL,0.9,period3
KIMSUSAN PALACE OF THE SUN,CENTRE FOR SCIENTIFIC RESEARCH AND TEACHING METHODS IN BIOCHEMICAL TECHNOLOGIES,NEUTRAL,0.9,period3
KEN KATO,UN SECURITY COUNCIL,THREAT,0.85,period3
KEN KATO,HUMAN RIGHTS IN ASIA,HUMANITARIAN,0.9,period3
UN SECURITY COUNCIL,UN RESOLUTIONS,ECONOMIC,0.85,period3
NORTH KOREA,ALEK SIGLEY,THREAT,0.85,period3
NORTH KOREA,HUMANITARIAN ASSISTANCE,HUMANITARIAN,0.95,period3
NORTH KOREA,WEAPONS PROGRAMMES,THREAT,0.8,period3
ALEK SIGLEY,LEONID PETROV,HUMANITARIAN,0.85,period3
ALEK SIGLEY,PERTH,NEUTRAL,0.9,period3
ALEK SIGLEY,AUSTRALIA,HUMANITARIAN,0.9,period3
ALEK SIGLEY,NORTH KOREA,HUMANITARIAN,0.85,period3
NORTH KOREA,XI JINPING,DIPLOMACY,0.9,period3
DONALD TRUMP,NUCLEAR TALKS,DIPLOMACY,0.9,period3
KIM JONG UN,MIRIM AIRPORT,THREAT,0.85,period3
KIM JONG UN,NORTH KOREAN ENVOY,THREAT,0.8,period3
KIM JONG UN,XI JINPING,DIPLOMACY,0.95,period3
KIM HYOK-CHOL,NORTH KOREA,THREAT,0.8,period3
KIM HYOK-CHOL,KIM JONG-UN,NEUTRAL,0.8,period3
KIM HYOK-CHOL,TRUMP SUMMIT,THREAT,0.8,period3
KIM JONG-UN,TRUMP SUMMIT,NEUTRAL,0.8,period3
KIM JONG-UN,STATE AFFAIRS COMMISSION,NEUTRAL,0.9,period3
TRUMP SUMMIT,HANOI SUMMIT,NEUTRAL,0.9,period3
SOUTH KOREA,CHOSUN ILBO,NEUTRAL,0.9,period3
KIM YONG-CHOL,STATE AFFAIRS COMMISSION,NEUTRAL,0.9,period3
KIM JONG-UN,HIGH TREASON,THREAT,0.8,period3
KIM HYOK-CHOL,CIA,THREAT,0.8,period3
DONALD TRUMP,HANOI SUMMIT,DIPLOMACY,0.95,period3
DONALD TRUMP,SHINZO ABE,THREAT,0.85,period3
DONALD TRUMP,TRADE GAP,ECONOMIC,0.9,period3
DONALD TRUMP,USA,NEUTRAL,0.9,period3
SHINZO ABE,JAPAN,DIPLOMACY,0.9,period3
SHINZO ABE,TRADE GAP,ECONOMIC,0.9,period3
SHINZO ABE,USA,NEUTRAL,0.8,period3
ABE,TRUMP,DIPLOMACY,0.9,period3
TRUMP,JOE BIDEN,NEUTRAL,0.8,period3
TRUMP,IRAN,THREAT,0.9,period3
TRUMP,RUSSIA,DIPLOMACY,0.8,period3
JOE BIDEN,2020 WHITE HOUSE ELECTION,NEUTRAL,0.9,period3
NORTH KOREA,MINUTEMAN III,THREAT,0.9,period3
NORTH KOREA,NUCLEAR DISARMAMENT,THREAT,0.8,period3
DONALD TRUMP,NUCLEAR DISARMAMENT,DIPLOMACY,0.9,period3
KIM,HANOI SUMMIT,DIPLOMACY,0.95,period3
MISSILE TEST,TACTICAL GUIDED WEAPON,THREAT,0.9,period3
DONALD TRUMP,KIM,DIPLOMACY,0.95,period3
DONALD TRUMP,IRAN DEAL,THREAT,0.85,period3
DONALD TRUMP,VENEZUELA,THREAT,0.8,period3
DONALD TRUMP,DIPLOMATIC SUMMIT,DIPLOMACY,0.95,period3
NORTH KOREA,MATTIS,THREAT,0.9,period3
NORTH KOREA,PROJECTILES,THREAT,0.85,period3
KIM,DIPLOMATIC SUMMIT,DIPLOMACY,0.9,period3
TRUMP,XI JINPING,DIPLOMACY,0.85,period3
TRUMP,G20 SUMMIT,THREAT,0.8,period3
CHINA,NORTH KOREA,DIPLOMACY,0.85,period3
CHINA,US,DIPLOMACY,0.9,period3
G20 SUMMIT,XI JINPING,NEUTRAL,0.8,period3
BANK OF COMMUNICATIONS,NORTH KOREAN SANCTIONS,ECONOMIC,0.9,period3
CHINA MERCHANTS BANK,NORTH KOREAN SANCTIONS,ECONOMIC,0.9,period3
SHANGHAI PUDONG DEVELOPMENT BANK,NORTH KOREAN SANCTIONS,ECONOMIC,0.9,period3
NORTH KOREAN SANCTIONS,US,ECONOMIC,0.9,period3
XI JINPING,CHINA,NEUTRAL,0.9,period3
NORTH KOREA,TOMAS OJEA QUINTANA,HUMANITARIAN,0.95,period3
U.N.,TOMAS OJEA QUINTANA,HUMANITARIAN,0.9,period3
U.N.,NORTH KOREAN ESCAPEES,HUMANITARIAN,0.95,period3
KOREAN PENINSULA,NORTH KOREAN ESCAPEES,HUMANITARIAN,0.9,period3
NORTH KOREAN ESCAPEES,UNDERGROUND RAILROAD,HUMANITARIAN,0.9,period3
UNDERGROUND RAILROAD,NORTH KOREAN DEFECTORS,HUMANITARIAN,0.95,period3
CHINESE RAIDS,NORTH KOREAN DEFECTORS,HUMANITARIAN,0.85,period3
NORTH KOREA,SINUJU,NEUTRAL,0.8,period3
NORTH KOREA,NORTH KOREAN DEFECTORS,HUMANITARIAN,0.95,period3
NORTH KOREA,REFUGEE CRISIS,HUMANITARIAN,0.9,period3
CHINA,NORTH KOREAN DEFECTORS,HUMANITARIAN,0.9,period3
SINUJU,DAILY NK,HUMANITARIAN,0.8,period3
SINUJU,NORTH KOREAN AUTHORITIES,NEUTRAL,0.8,period3
SINUJU,MODERNIZATION PLANS,HUMANITARIAN,0.85,period3
NORTH KOREAN DEFECTORS,UNDERGROUND RAILROAD,HUMANITARIAN,0.95,period3
NORTH KOREAN DEFECTORS,NORTH KOREAN AUTHORITIES,HUMANITARIAN,0.9,period3
PYONGYANG,NORTH KOREAN AUTHORITIES,NEUTRAL,0.9,period3
KIM JONG NAM,KIM JONG UN,THREAT,0.9,period3
KIM JONG NAM,CIA,NEUTRAL,0.8,period3
KIM JONG NAM,MALAYSIA,THREAT,0.85,period3
KIM JONG NAM,KUALA LUMPUR INTERNATIONAL AIRPORT,NEUTRAL,0.8,period3
KIM JONG NAM,KIM JONG IL,NEUTRAL,0.9,period3
KIM JONG NAM,FALSE PASSPORTS,NEUTRAL,0.8,period3
CIA,NORTH KOREA,THREAT,0.85,period3
NORTH KOREA,KIM JONG IL,NEUTRAL,0.9,period3
KIM JONG NAM,ANNA FIFIELD,NEUTRAL,0.8,period3
KIM JONG NAM,SINGAPORE,NEUTRAL,0.8,period3
KIM JONG NAM,NORTH KOREA,NEUTRAL,0.9,period3
KIM JONG NAM,EXECUTION BY FEEDING TO PIRANHAS,THREAT,0.85,period3
NORTH KOREA,HUMAN RIGHTS GROUP,HUMANITARIAN,0.95,period3
NORTH KOREA,THAE YONG-HO,NEUTRAL,0.8,period3
NORTH KOREA,MALAYSIA,NEUTRAL,0.8,period3
NORTH KOREAN DEFECTORS,CHINA,HUMANITARIAN,0.9,period3
CYBERSEX SLAVES,CHINA,HUMANITARIAN,0.95,period3
DAILY MAIL,FAKE NEWS,NEUTRAL,0.9,period3
THAE YONG-HO,NORTH KOREA,NEUTRAL,0.9,period3
THAE YONG-HO,NORTH KOREAN EMBASSY,NEUTRAL,0.9,period3
THAE YONG-HO,MILKSHAKE ATTACK,HUMANITARIAN,0.9,period3
THAE YONG-HO,POLITICAL VIOLENCE,HUMANITARIAN,0.9,period3
NORTH KOREA,MILKSHAKE ATTACK,THREAT,0.85,period3
NORTH KOREA,US FLAG,HUMANITARIAN,0.8,period3
SOUTH KOREA,AID PACKAGE,HUMANITARIAN,0.95,period3
KIM JONG UN,LONG-RANGE MISSILE,THREAT,0.95,period3
FAKE NEWS,DISINFORMATION,NEUTRAL,0.9,period3
KIM JONG UN,NUCLEAR SUMMIT,NEUTRAL,0.8,period3
KIM JONG UN,MUSICAL PERFORMANCE,NEUTRAL,0.9,period3
KIM YONG CHOL,KOREAN CENTRAL NEWS AGENCY,NEUTRAL,0.9,period3
KIM YONG CHOL,NUCLEAR SUMMIT,DIPLOMACY,0.9,period3
KIM YONG CHOL,TRUMP,DIPLOMACY,0.95,period3
KIM YONG CHOL,LABOR CAMP,HUMANITARIAN,0.85,period3
KIM YONG CHOL,KIM JONG UN,NEUTRAL,0.9,period3
KIM YONG CHOL,NORTH KOREA,DIPLOMACY,0.9,period3
KIM YONG CHOL,U.S.,DIPLOMACY,0.9,period3
NORTH KOREA,KOREAN PEOPLE'S ARMY,NEUTRAL,0.8,period3
NORTH KOREA,LABOR CAMP,HUMANITARIAN,0.9,period3
U.S.,NUCLEAR SUMMIT,DIPLOMACY,0.8,period3
KIM YONG CHOL,WORKERS' PARTY OF KOREA,NEUTRAL,0.9,period3
KIM YONG CHOL,FAILED DPRK-U.S. SUMMIT,DIPLOMACY,0.9,period3
KIM YONG CHOL,CHOSUN ILBO,NEUTRAL,0.8,period3
KIM YONG CHOL,JAGANG PROVINCE,HUMANITARIAN,0.85,period3
KIM JONG UN,WORKERS' PARTY OF KOREA,NEUTRAL,0.9,period3
FAILED DPRK-U.S. SUMMIT,KIM HYOK CHOL,DIPLOMACY,0.85,period3
CHOSUN ILBO,MEDIA,NEUTRAL,0.8,period3
KIM HYOK CHOL,EXECUTION,HUMANITARIAN,0.8,period3
PURGE,NORTH KOREA,NEUTRAL,0.8,period3
KIM JONG UN,KIM SONG HYE,DIPLOMACY,0.8,period3
KIM YO JONG,KIM SONG HYE,DIPLOMACY,0.95,period3
KIM SONG HYE,HANOI SUMMIT,DIPLOMACY,0.8,period3
KIM SONG HYE,PURGE,THREAT,0.8,period3
HANOI SUMMIT,DENUCLEARIZATION,DIPLOMACY,0.95,period3
DONALD TRUMP,U.N. SECURITY COUNCIL,THREAT,0.8,period3
KIM JONG UN,KOREAN PENINSULA,NEUTRAL,0.8,period3
KOREAN PENINSULA,SOUTH KOREA,NEUTRAL,0.9,period3
KOREAN PENINSULA,U.N. SECURITY COUNCIL,THREAT,0.8,period3
WINTER OLYMPICS,KIM YO JONG,DIPLOMACY,0.9,period3
U.N. SECURITY COUNCIL,MISSILE TESTS,THREAT,0.85,period3
MISSILE TESTS,NORTH KOREA,THREAT,0.9,period3
SHINZO ABE,NORTH KOREA,THREAT,0.8,period3
SHINZO ABE,U.N. SECURITY COUNCIL,NEUTRAL,0.85,period3
U.N. SECURITY COUNCIL,BOLTON,NEUTRAL,0.8,period3
NORTH KOREA,SEX TRAFFICKING,HUMANITARIAN,0.95,period3
NORTH KOREA,CYBERSEX DENS,HUMANITARIAN,0.9,period3
NORTH KOREA,TRAFFICKING,HUMANITARIAN,0.95,period3
NORTH KOREA,KOREA FUTURE INITIATIVE,HUMANITARIAN,0.95,period3
NORTH KOREA,POLAND,ECONOMIC,0.9,period3
NORTH KOREA,SEX SLAVERY,HUMANITARIAN,0.95,period3
NORTH KOREA,PODCAST,HUMANITARIAN,0.9,period3
CHINA,SEX TRAFFICKING,HUMANITARIAN,0.9,period3
JOE BIDEN,KIM JONG UN,THREAT,0.8,period3
DONALD TRUMP,KIM JONG-UN,DIPLOMACY,0.9,period3
DONALD TRUMP,JOHN BOLTON,DIPLOMACY,0.8,period3
DONALD TRUMP,DMZ,DIPLOMACY,0.95,period3
KIM JONG-UN,JOHN BOLTON,THREAT,0.9,period3
TRAFFICKING,SEX SLAVERY,HUMANITARIAN,0.9,period3
NORTH KOREA,USA,DIPLOMACY,0.7,period3
NORTH KOREA,KOREAN ARMISTICE,NEUTRAL,0.9,period3
NORTH KOREA,DMZ JOINT LIAISON OFFICE,DIPLOMACY,0.9,period3
NORTH KOREA,HYDROGEN BOMB,THREAT,0.9,period3
SOUTH KOREA,KOREAN ARMISTICE,DIPLOMACY,0.8,period3
SOUTH KOREA,DMZ JOINT LIAISON OFFICE,DIPLOMACY,0.9,period3
KIM JONG UN,KIM-XI SUMMIT,DIPLOMACY,0.85,period3
DPRK,USA,ECONOMIC,0.9,period3
DPRK,LIAISON OFFICE,ECONOMIC,0.85,period3
DPRK,CHINA,DIPLOMACY,0.85,period3
USA,SANCTIONS,ECONOMIC,0.9,period3
USA,IRAN,THREAT,0.9,period3
TRUMP,KIM,DIPLOMACY,0.9,period3
TRUMP,HANOI,DIPLOMACY,0.9,period3
KIM,HANOI,DIPLOMACY,0.8,period3
LIAISON OFFICE,MOON JAE-IN,DIPLOMACY,0.9,period3
IRAN,ISRAEL,THREAT,0.95,period3
IRAN,TURKEY,DIPLOMACY,0.85,period3
IRAN,SAUDI ARABIA,THREAT,0.9,period3
US,SOUTH KOREA,THREAT,0.9,period3
US,DENUCLEARIZATION,DIPLOMACY,0.95,period3
ISRAEL,IRAN,THREAT,0.95,period3
IRAN,HEZBOLLAH,THREAT,0.85,period3
KIM,NORTH KOREA,THREAT,0.9,period3
KIM,DENUCLEARIZATION,THREAT,0.9,period3
CIA,CHEOLLIMA CIVIL DEFENSE,HUMANITARIAN,0.85,period3
ANDREI LANKOV,NORTH KOREAN EMBASSY,NEUTRAL,0.9,period3
NORTH KOREAN EMBASSY,CIA,THREAT,0.85,period3
NORTH KOREAN EMBASSY,SPAIN,NEUTRAL,0.9,period3
CIA,CNI,NEUTRAL,0.8,period3
CIA,HANOI MEETING,NEUTRAL,0.8,period3
NUCLEAR WEAPONS,NORTH KOREA,THREAT,0.9,period3
NORTH KOREA,PIPELINE,ECONOMIC,0.95,period3
NORTH KOREA,NORTH KOREAN NUKES,THREAT,0.9,period3
NORTH KOREA,KOREAN RIGHT-WING ELDERLY,NEUTRAL,0.8,period3
SOUTH KOREA,UNITED STATES,THREAT,0.8,period3
SOUTH KOREA,RUSSIA,DIPLOMACY,0.85,period3
SOUTH KOREA,KOREAN LIBERALS,HUMANITARIAN,0.8,period3
UNITED STATES,CHINA,NEUTRAL,0.8,period3
RUSSIA,PIPELINE,ECONOMIC,0.9,period3
TRUMP'S ADMINISTRATION,HANOI SUMMIT,DIPLOMACY,0.9,period3
NORTH KOREA,US-KOR ALLIANCE,THREAT,0.9,period3
NORTH KOREA,BIOLOGICAL AND CHEMICAL WEAPONS,THREAT,0.9,period3
NORTH KOREA,TAEDONG RIVER,THREAT,0.9,period3
NORTH KOREA,YALU RIVER,THREAT,0.85,period3
NORTH KOREA,TUMEN RIVER,NEUTRAL,0.8,period3
SOUTH KOREA,US-KOR ALLIANCE,THREAT,0.9,period3
CHINA,RUSSIA,NEUTRAL,0.8,period3
CHINA,NIXON,DIPLOMACY,0.85,period3
RUSSIA,NORTH KOREA,DIPLOMACY,0.8,period3
NORTH KOREA,CHEMICAL WEAPONS,THREAT,0.9,period3
NORTH KOREA,BIOLOGICAL WEAPONS,THREAT,0.9,period3
SOUTH KOREA,US,THREAT,0.9,period3
SOUTH KOREA,COLD WAR,THREAT,0.9,period3
NORTH KOREA,THAAD,THREAT,0.9,period3
CHINA,KIM-XI SUMMIT,DIPLOMACY,0.8,period3
MIKE POMPEO,DENUCLEARIZATION,DIPLOMACY,0.9,period3
MIKE POMPEO,BOLTON,DIPLOMACY,0.8,period3
NORTH KOREA,PENTAGON,THREAT,0.95,period3
NORTH KOREA,NORTH-SOUTH KOREA SUMMIT,DIPLOMACY,0.9,period3
KIM JONG UN,DPRK,THREAT,0.9,period3
KIM JONG UN,KIM JONG UN'S LETTER,DIPLOMACY,0.9,period3
KIM JONG UN,EXECUTIONS,THREAT,0.85,period3
UNITED STATES,TRUMP,DIPLOMACY,0.9,period3
PENTAGON,MISSILE TEST,THREAT,0.85,period3
PENTAGON,NUCLEAR TEST,THREAT,0.85,period3
TRUMP,SARAH SANDERS,NEUTRAL,0.8,period3
TRUMP,NORTH KOREA SANCTIONS,ECONOMIC,0.9,period3
KIM JONG UN,OTTO WARMBIER,HUMANITARIAN,0.95,period3
TRUMP-KIM SUMMIT,NORTH KOREA DOCUMENTARY,DIPLOMACY,0.8,period3
OTTO WARMBIER,KIM JONG UN,HUMANITARIAN,0.9,period3
KIM JONG UN,NORTH KOREA EXECUTION,THREAT,0.8,period3
KIM JONG UN,LONG RANGE MISSILE SITE,THREAT,0.9,period3
HANOI SUMMIT,DONALD TRUMP,DIPLOMACY,0.9,period3
DENUCLEARIZATION,BOLTON,DIPLOMACY,0.8,period3
NORTH KOREA,POMPEO,DIPLOMACY,0.9,period3
TRUMP,POMPEO,DIPLOMACY,0.95,period3
TRUMP,EDWARD SNOWDEN,NEUTRAL,0.8,period3
TRUMP,TREASON,THREAT,0.85,period3
DONALD TRUMP,U.S. TREASURY DEPARTMENT,ECONOMIC,0.8,period3
DONALD TRUMP,SARAH SANDERS,NEUTRAL,0.9,period3
NORTH KOREA,U.S. TREASURY DEPARTMENT,ECONOMIC,0.9,period3
NORTH KOREA,UN SECURITY COUNCIL,ECONOMIC,0.8,period3
